Creation	Duration	State	Label	
00:05.298.845	1.03 s	Active	noise_predictor_main__Op14_AneInference Load: cached	
00:07.584.458	20.32 ms	Active	Neural Engine Load: cached	
00:07.685.746	51.76 ms	Active	op_main_image__Op1_AneInference Load: cached	
00:07.801.178	6.90 ms	Active	Neural Engine Load: cached	
00:08.059.826	24.89 ms	Active	text_model_md4_mubb_main__Op0_AneInference Load: cached	
00:09.141.833	115.98 ms	Active	lora_16_extend_512_8__Op3_AneInference Load: cached	
00:09.510.290	8.44 ms	Active	text_model_md4_mubb_main__Op0_AneInference Load: cached	
00:09.725.918	2.23 ms	Active	text_model_md4_mubb_main__Op0_AneInference Prediction	
00:09.993.605	10.24 ms	Active	Neural Engine Prediction	
00:10.007.087	7.14 ms	Active	Neural Engine Prediction	
00:10.015.298	7.23 ms	Active	Neural Engine Prediction	
00:10.088.502	12.17 ms	Active	Neural Engine Prediction	
00:10.101.016	9.06 ms	Active	Neural Engine Prediction	
00:10.111.523	6.38 ms	Active	Neural Engine Prediction	
00:16.525.532	3.19 ms	Active	text_model_md4_mubb_main__Op0_AneInference Prediction	
00:16.720.897	15.09 ms	Active	Neural Engine Prediction	
00:16.737.880	7.25 ms	Active	Neural Engine Prediction	
00:16.745.862	5.61 ms	Active	Neural Engine Prediction	
00:16.752.005	5.04 ms	Active	Neural Engine Prediction	
00:16.757.659	4.74 ms	Active	Neural Engine Prediction	
00:16.763.133	5.46 ms	Active	Neural Engine Prediction	
00:16.769.343	4.88 ms	Active	Neural Engine Prediction	
00:16.774.674	4.79 ms	Active	Neural Engine Prediction	
00:16.779.901	5.13 ms	Active	Neural Engine Prediction	
00:16.785.476	5.14 ms	Active	Neural Engine Prediction	
00:16.791.051	4.75 ms	Active	Neural Engine Prediction	
00:16.796.244	5.37 ms	Active	Neural Engine Prediction	
00:16.959.033	11.88 ms	Active	Neural Engine Prediction	
00:16.971.211	9.63 ms	Active	Neural Engine Prediction	
00:16.983.694	6.93 ms	Active	Neural Engine Prediction	
00:19.287.287	422.10 ms	Active	Neural Engine Load: cached	
00:20.699.284	2.30 ms	Active	text_model_md4_mubb_main__Op0_AneInference Prediction	
00:20.875.906	11.75 ms	Active	Neural Engine Prediction	
00:20.889.786	9.44 ms	Active	Neural Engine Prediction	
00:20.900.456	5.94 ms	Active	Neural Engine Prediction	
00:21.071.502	7.36 ms	Active	Neural Engine Prediction	
00:21.079.169	8.37 ms	Active	Neural Engine Prediction	
00:21.088.839	7.70 ms	Active	Neural Engine Prediction	
00:21.332.013	12.47 ms	Active	Neural Engine Prediction	
00:21.350.891	7.56 ms	Active	Neural Engine Prediction	
00:21.359.411	5.46 ms	Active	Neural Engine Prediction	
00:21.367.117	6.25 ms	Active	Neural Engine Prediction	
00:21.374.312	5.36 ms	Active	Neural Engine Prediction	
00:21.380.471	5.45 ms	Active	Neural Engine Prediction	
00:21.386.688	5.76 ms	Active	Neural Engine Prediction	
00:21.393.216	5.08 ms	Active	Neural Engine Prediction	
00:21.400.319	6.40 ms	Active	Neural Engine Prediction	
00:21.409.140	6.22 ms	Active	Neural Engine Prediction	
00:21.418.669	6.16 ms	Active	Neural Engine Prediction	
00:21.427.374	5.56 ms	Active	Neural Engine Prediction	
00:21.436.909	5.77 ms	Active	Neural Engine Prediction	
00:21.443.883	5.34 ms	Active	Neural Engine Prediction	
00:21.450.598	5.71 ms	Active	Neural Engine Prediction	
00:21.457.309	5.54 ms	Active	Neural Engine Prediction	
00:21.463.553	5.86 ms	Active	Neural Engine Prediction	
00:21.470.167	6.04 ms	Active	Neural Engine Prediction	
00:21.476.945	6.11 ms	Active	Neural Engine Prediction	
00:21.484.581	6.44 ms	Active	Neural Engine Prediction	
