Creation	Duration	State	Label	
00:16.781.693	39.42 µs	Active	text_model_ctx_512_77_main_ctx_512__Op0_AneInference Prediction	
00:16.894.328	39.96 µs	Active	text_model_ctx_512_77_main_ctx_512__Op0_AneInference Prediction	
00:09.025.991	43.46 µs	Active	text_model_ctx_512_77_main_ctx_512__Op0_AneInference Prediction	
00:09.000.116	44.71 µs	Active	text_model_ctx_512_77_main_ctx_512__Op0_AneInference Prediction	
00:23.060.422	46.46 µs	Active	text_model_ctx_512_77_main_ctx_512__Op0_AneInference Prediction	
00:14.846.381	48.12 µs	Active	text_model_ctx_512_77_main_ctx_512__Op0_AneInference Prediction	
00:23.197.376	49.96 µs	Active	text_model_ctx_512_77_main_ctx_512__Op0_AneInference Prediction	
00:15.017.107	54.54 µs	Active	text_model_ctx_512_77_main_ctx_512__Op0_AneInference Prediction	
00:00.944.012	66.42 µs	Active	text_model_ctx_512_77_main_ctx_512__Op0_AneInference Prediction	
00:01.698.498	2.89 ms	Active	main__Op5_AneInference Prediction	
00:16.821.445	3.01 ms	Active	main__Op5_AneInference Prediction	
00:16.737.115	3.10 ms	Active	main__Op5_AneInference Prediction	
00:08.702.264	3.13 ms	Active	main__Op5_AneInference Prediction	
00:01.170.079	3.29 ms	Active	main__Op5_AneInference Prediction	
00:14.817.033	3.32 ms	Active	main__Op5_AneInference Prediction	
00:18.721.009	3.33 ms	Active	main__Op5_AneInference Prediction	
00:01.505.730	3.34 ms	Active	main__Op5_AneInference Prediction	
00:16.817.453	3.35 ms	Active	main__Op5_AneInference Prediction	
00:01.176.652	3.36 ms	Active	main__Op5_AneInference Prediction	
00:01.250.113	3.42 ms	Active	main__Op5_AneInference Prediction	
00:02.659.296	3.67 ms	Active	main__Op5_AneInference Prediction	
00:18.977.773	3.71 ms	Active	main__Op5_AneInference Prediction	
00:02.466.319	3.75 ms	Active	main__Op5_AneInference Prediction	
00:12.643.942	3.81 ms	Active	main__Op5_AneInference Prediction	
00:22.309.310	3.84 ms	Active	main__Op5_AneInference Prediction	
00:02.210.964	3.85 ms	Active	main__Op5_AneInference Prediction	
00:14.562.334	3.86 ms	Active	main__Op5_AneInference Prediction	
00:22.906.032	3.99 ms	Active	main__Op5_AneInference Prediction	
00:19.233.940	4.03 ms	Active	main__Op5_AneInference Prediction	
00:15.074.150	4.12 ms	Active	main__Op5_AneInference Prediction	
00:15.779.477	4.17 ms	Active	main__Op5_AneInference Prediction	
00:12.446.090	4.21 ms	Active	main__Op5_AneInference Prediction	
00:01.955.120	4.25 ms	Active	main__Op5_AneInference Prediction	
00:20.900.895	4.26 ms	Active	main__Op5_AneInference Prediction	
00:19.939.804	4.42 ms	Active	main__Op5_AneInference Prediction	
00:05.798.412	4.45 ms	Active	main__Op5_AneInference Prediction	
00:16.483.710	4.64 ms	Active	main__Op5_AneInference Prediction	
00:19.430.075	4.73 ms	Active	main__Op5_AneInference Prediction	
00:20.199.089	4.79 ms	Active	main__Op5_AneInference Prediction	
00:19.682.413	4.81 ms	Active	main__Op5_AneInference Prediction	
00:13.348.535	4.81 ms	Active	main__Op5_AneInference Prediction	
00:16.037.336	4.84 ms	Active	main__Op5_AneInference Prediction	
00:22.899.814	4.86 ms	Active	main__Op5_AneInference Prediction	
00:02.920.216	4.87 ms	Active	main__Op5_AneInference Prediction	
00:16.837.955	4.88 ms	Active	Neural Engine Prediction	
00:06.756.832	4.93 ms	Active	main__Op5_AneInference Prediction	
00:16.843.538	4.93 ms	Active	Neural Engine Prediction	
00:15.268.772	4.98 ms	Active	main__Op5_AneInference Prediction	
00:03.428.584	5.04 ms	Active	main__Op5_AneInference Prediction	
00:05.541.665	5.08 ms	Active	main__Op5_AneInference Prediction	
00:16.831.077	5.14 ms	Active	Neural Engine Prediction	
00:08.229.076	5.14 ms	Active	main__Op5_AneInference Prediction	
00:16.225.512	5.15 ms	Active	main__Op5_AneInference Prediction	
00:08.676.639	5.19 ms	Active	main__Op5_AneInference Prediction	
00:06.055.170	5.19 ms	Active	main__Op5_AneInference Prediction	
00:03.623.392	5.22 ms	Active	main__Op5_AneInference Prediction	
00:21.155.268	5.24 ms	Active	main__Op5_AneInference Prediction	
00:14.967.807	5.34 ms	Active	Neural Engine Prediction	
00:14.116.927	5.39 ms	Active	main__Op5_AneInference Prediction	
00:08.421.531	5.42 ms	Active	main__Op5_AneInference Prediction	
00:07.272.592	5.44 ms	Active	main__Op5_AneInference Prediction	
00:22.820.711	5.48 ms	Active	main__Op5_AneInference Prediction	
00:06.504.997	5.60 ms	Active	main__Op5_AneInference Prediction	
