Creation	Duration	State	Label	
00:10.272.535	8.17 ms	Active	Neural Engine Load: cached	
00:15.360.575	7.82 ms	Active	Neural Engine Load: cached	
00:15.759.039	15.12 ms	Active	Neural Engine Prediction	
00:15.774.537	7.97 ms	Active	Neural Engine Prediction	
00:15.782.777	5.27 ms	Active	Neural Engine Prediction	
00:15.788.281	4.78 ms	Active	Neural Engine Prediction	
00:15.793.304	6.84 ms	Active	Neural Engine Prediction	
00:15.800.385	6.35 ms	Active	Neural Engine Prediction	
00:15.806.982	6.86 ms	Active	Neural Engine Prediction	
00:15.814.099	6.38 ms	Active	Neural Engine Prediction	
00:15.820.764	7.51 ms	Active	Neural Engine Prediction	
00:15.828.495	7.61 ms	Active	Neural Engine Prediction	
00:15.840.380	8.24 ms	Active	Neural Engine Prediction	
00:15.923.268	37.46 ms	Active	Neural Engine Prediction	
00:15.961.073	27.33 ms	Active	Neural Engine Prediction	
00:15.988.726	26.80 ms	Active	Neural Engine Prediction	
00:16.015.866	27.35 ms	Active	Neural Engine Prediction	
00:16.043.547	28.39 ms	Active	Neural Engine Prediction	
00:16.072.335	29.02 ms	Active	Neural Engine Prediction	
00:16.101.667	29.10 ms	Active	Neural Engine Prediction	
00:16.131.076	37.83 ms	Active	Neural Engine Prediction	
00:16.170.601	1.05 ms	Active	Neural Engine Prediction	
00:16.171.867	793.17 µs	Active	Neural Engine Prediction	
00:16.172.860	790.29 µs	Active	Neural Engine Prediction	
00:16.173.862	799.29 µs	Active	Neural Engine Prediction	
00:16.174.866	958.92 µs	Active	Neural Engine Prediction	
00:16.176.026	964.54 µs	Active	Neural Engine Prediction	
00:16.177.193	1.02 ms	Active	Neural Engine Prediction	
00:16.178.423	1.02 ms	Active	Neural Engine Prediction	
00:16.184.447	1.27 ms	Active	Neural Engine Prediction	
00:16.187.122	1.05 ms	Active	Neural Engine Prediction	
00:16.189.441	1.04 ms	Active	Neural Engine Prediction	
00:16.191.662	1.04 ms	Active	Neural Engine Prediction	
00:16.195.439	29.40 ms	Active	Neural Engine Prediction	
00:16.226.240	1.04 ms	Active	Neural Engine Prediction	
00:16.228.623	1.15 ms	Active	Neural Engine Prediction	
