Timestamp	Type	Process	Thread	Subsystem	Category	Message	
01:29.654.768	Debug	syncdefaultsd (156)	_dispatch_workloop_worker_thread  0x2653	com.apple.cloudkit	CK	Received completion callback for operation 5B9E5D7EDFABAFAA with metrics <private> error 	
01:29.654.891	Debug	syncdefaultsd (156)	_dispatch_workloop_worker_thread  0x2653	com.apple.cloudkit	CK	Operation 5B9E5D7EDFABAFAA has completed - server-change-token:<CKServerChangeToken: 0xc08140260; data=EgoQEgwAAMOqk7vJCgAAAAIYARgA>	
01:29.655.018	Debug	syncdefaultsd (156)	_dispatch_workloop_worker_thread  0x274c	com.apple.cloudkit	Engine	Calling notifyChangeHandlerWithCoalescing: 0 scheduleSync: 0	
01:29.655.061	Debug	syncdefaultsd (156)	_dispatch_workloop_worker_thread  0x274c	com.apple.cloudkit	Engine	<private> finished fetching database changes	
01:29.655.064	Default	syncdefaultsd (156)	_dispatch_workloop_worker_thread  0x2653	com.apple.cloudkit	OP	Finished operation <CKFetchDatabaseChangesOperation: 0xc0824c300; operationGroup={ operationGroupID=F655A89BEE450F97, shortened-name=CKSyncEngine-FetchChanges-Automatic }, databaseScope=Private, operationID=5B9E5D7EDFABAFAA, resolvedConfig={ timeoutForRequest=60, flags=xpcActivity }, qos=Utility, stateFlags=executing, <private>> 	
01:29.655.124	Debug	syncdefaultsd (156)	_dispatch_workloop_worker_thread  0x274c	com.apple.cloudkit	Engine	<CKSyncEngine.State com.apple.KeyValueService.EndToEndEncrypted.AllPlatforms> setting needs to fetch database changes 0	
01:29.655.154	Debug	syncdefaultsd (156)	_dispatch_workloop_worker_thread  0x274c	com.apple.cloudkit	Engine	Calling notifyChangeHandlerWithCoalescing: 1 scheduleSync: 0	
01:29.655.217	Debug	syncdefaultsd (156)	_dispatch_workloop_worker_thread  0x2653	com.apple.cloudkit	CK	Operation was marked as finished: <CKFetchDatabaseChangesOperation: 0xc0824c300; qos=Utility, operationID=5B9E5D7EDFABAFAA, operationGroup={ operationGroupID=F655A89BEE450F97, full-name=CKSyncEngine-FetchChanges-Automatic, defaultConfiguration=<CKOperationConfiguration: 0xc08168a80; timeoutForRequest=60, flags=xpcActivity|autoRetry, discretionary=Infers Disc> }, metrics=<CKOperationMetrics: 0xc082d3f20; cloudKitMetrics=<CKMetric: 0xc08168fc0; startDate=2024-11-12 06:32:17 +0000, duration=1.637, queueing=0.041, executing=3.187, bytesUploaded=506, bytesDownloaded=80, connections=1, connectionsCreated=1, totalBytesByChunkProfile={  }, chunkCountByChunkProfile={  }, fileCountByChunkProfile={  }>>, stateFlags=finished, resolvedConfig={ timeoutForRequest=60, flags=xpcActivity }, databaseScope=Private>	
01:29.655.280	Info	syncdefaultsd (156)	_dispatch_workloop_worker_thread  0x2653	com.apple.cloudkit	CK	Operation 5B9E5D7EDFABAFAA finished	
01:29.655.336	Debug	syncdefaultsd (156)	_dispatch_workloop_worker_thread  0x274c	com.apple.kvs	TCC	Checking if syncing is disabled for store com.apple.freeform	
