Timestamp	Type	Process	Subsystem	Category	Message	
00:49.956.297	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 7 processId: 9 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:50.231.471	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 9 processId: 58 uuid: 0x<private> procedureid: 6 programEvent: 1
	
00:50.238.607	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 9 processId: 58 uuid: 0x<private> procedureid: 9 programEvent: 1
	
00:50.244.624	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 9 processId: 58 uuid: 0x<private> procedureid: 9 programEvent: 1
	
00:50.518.647	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 9 processId: 59 uuid: 0x<private> procedureid: 27 programEvent: 1
	
00:50.530.302	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 9 processId: 59 uuid: 0x<private> procedureid: 24 programEvent: 1
	
00:50.540.436	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 9 processId: 59 uuid: 0x<private> procedureid: 26 programEvent: 1
	
00:50.581.599	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 7 processId: 9 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:50.603.785	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 7 processId: 9 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:50.951.715	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 8 processId: 60 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:51.148.742	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 8 processId: 60 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:51.345.138	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 8 processId: 60 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:51.544.824	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 8 processId: 60 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:51.830.353	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 42 processId: 61 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:51.937.090	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 25 processId: 41 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.004.314	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 25 processId: 41 uuid: 0x<private> procedureid: 1 programEvent: 1
	
00:52.017.395	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 28 processId: 44 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.026.769	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 27 processId: 43 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.035.874	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 26 processId: 42 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.048.680	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 0 processId: 0 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.050.112	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 30 processId: 46 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.051.816	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.053.703	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
00:52.055.253	Default	Unknown (0)	AppleH16ANEInterface	Default	ANE0: processTargetToHostIOCommand: DEBUG: Got the program request complete notification - programId: 29 processId: 45 uuid: 0x<private> procedureid: 0 programEvent: 1
	
