Creation	Duration	State	Label	
00:05.715.448	55.82 ms	Active	Neural Engine Load: cached	
00:07.019.391	45.54 ms	Active	refinement_main__Op0_AneInference Load: cached	
00:16.654.599	98.14 ms	Active	refinement_main__Op0_AneInference Prediction	
00:16.779.113	103.02 ms	Active	refinement_main__Op0_AneInference Prediction	
00:16.913.356	92.46 ms	Active	refinement_main__Op0_AneInference Prediction	
00:17.912.345	79.62 ms	Active	main__Op2_AneInference Load: cached	
00:18.084.678	18.61 ms	Active	main__Op2_AneInference Load: cached	
00:18.111.324	141.87 ms	Active	main__Op2_AneInference Prediction	
00:18.546.311	4.47 ms	Active	Neural Engine Load: cached	
00:18.557.486	477.46 µs	Active	Neural Engine Prediction	
00:18.585.184	4.62 ms	Active	Neural Engine Load: cached	
00:18.653.124	859.75 µs	Active	Neural Engine Prediction	
00:26.399.216	116.14 ms	Active	refinement_main__Op0_AneInference Prediction	
00:26.549.347	115.31 ms	Active	refinement_main__Op0_AneInference Prediction	
00:26.848.791	118.40 ms	Active	refinement_main__Op0_AneInference Prediction	
00:27.318.946	3.69 ms	Active	Neural Engine Load: cached	
00:27.395.504	935.17 µs	Active	Neural Engine Prediction	
00:37.565.764	126.80 ms	Active	main__Op2_AneInference Prediction	
00:38.861.346	123.92 ms	Active	refinement_main__Op0_AneInference Prediction	
00:39.015.975	115.15 ms	Active	refinement_main__Op0_AneInference Prediction	
00:39.188.382	114.00 ms	Active	refinement_main__Op0_AneInference Prediction	
00:39.408.607	116.96 ms	Active	refinement_main__Op0_AneInference Prediction	
00:39.657.560	120.61 ms	Active	refinement_main__Op0_AneInference Prediction	
00:40.020.432	4.02 ms	Active	Neural Engine Load: cached	
00:40.096.627	1.02 ms	Active	Neural Engine Prediction	
00:40.826.650	138.08 ms	Active	main__Op2_AneInference Prediction	
00:41.154.827	628.71 µs	Active	Neural Engine Prediction	
00:45.275.043	131.99 ms	Active	main__Op2_AneInference Prediction	
00:46.185.427	117.54 ms	Active	refinement_main__Op0_AneInference Prediction	
00:46.355.283	115.65 ms	Active	refinement_main__Op0_AneInference Prediction	
00:46.516.028	114.97 ms	Active	refinement_main__Op0_AneInference Prediction	
00:46.816.097	3.04 ms	Active	Neural Engine Load: cached	
00:46.821.266	1.07 ms	Active	Neural Engine Prediction	
00:47.607.533	138.88 ms	Active	main__Op2_AneInference Prediction	
00:47.888.752	552.46 µs	Active	Neural Engine Prediction	
