Creation	Duration	State	Label	
00:13.128.407	6.41 ms	Active	Neural Engine Prediction	
00:13.136.337	5.06 ms	Active	Neural Engine Prediction	
00:13.142.387	5.02 ms	Active	Neural Engine Prediction	
00:13.373.057	6.95 ms	Active	Neural Engine Prediction	
00:13.380.258	4.79 ms	Active	Neural Engine Prediction	
00:13.385.219	5.12 ms	Active	Neural Engine Prediction	
00:13.391.592	5.74 ms	Active	Neural Engine Prediction	
00:13.426.324	1.84 ms	Active	Neural Engine Prediction	
00:13.441.253	2.15 ms	Active	Neural Engine Prediction	
00:13.583.817	150.18 ms	Active	Neural Engine Prediction	
00:13.754.329	152.09 ms	Active	Neural Engine Prediction	
00:13.926.950	153.41 ms	Active	Neural Engine Prediction	
00:14.101.665	157.29 ms	Active	Neural Engine Prediction	
00:14.285.328	227.28 ms	Active	decoder_main__Op0_AneInference Prediction	
00:14.519.816	868.67 µs	Active	Neural Engine Prediction	
00:14.522.485	3.07 ms	Active	op_main_image__Op1_AneInference Prediction	
00:14.527.028	2.01 ms	Active	Neural Engine Prediction	
00:14.531.786	2.50 ms	Active	Neural Engine Prediction	
00:14.534.770	126.75 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_bridge_kmeans-8bit-cgs8_main__Op0_AneInference Prediction	
00:14.535.156	365.96 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:14.535.871	370.83 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:14.536.565	366.92 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:14.537.243	366.17 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:14.537.910	372.50 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:14.538.584	384.25 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:14.539.264	369.67 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:14.539.947	364.08 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:14.540.609	368.50 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:14.541.275	461.88 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:14.542.084	433.88 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:14.542.815	370.58 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:14.543.565	439.54 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:14.544.312	413.42 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:14.545.035	363.00 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
