Creation	Duration	State	Label	
00:49.954.258	2.03 ms	Active	text_model_md4_mubb_main__Op0_AneInference Prediction	
00:50.154.087	100.04 µs	Active	Neural Engine Prediction	
00:50.159.336	668.46 µs	Active	Neural Engine Prediction	
00:50.160.077	78.25 µs	Active	Neural Engine Prediction	
00:50.160.101	88.33 µs	Active	Neural Engine Prediction	
00:50.223.795	7.67 ms	Active	Neural Engine Prediction	
00:50.233.009	5.59 ms	Active	Neural Engine Prediction	
00:50.239.452	5.17 ms	Active	Neural Engine Prediction	
00:50.507.969	10.67 ms	Active	Neural Engine Prediction	
00:50.519.003	11.29 ms	Active	Neural Engine Prediction	
00:50.533.314	7.11 ms	Active	Neural Engine Prediction	
00:50.579.265	2.32 ms	Active	text_model_md4_mubb_main__Op0_AneInference Prediction	
00:50.601.509	2.26 ms	Active	text_model_md4_mubb_main__Op0_AneInference Prediction	
00:50.773.785	177.91 ms	Active	Neural Engine Prediction	
00:50.975.695	173.02 ms	Active	Neural Engine Prediction	
00:51.171.283	173.84 ms	Active	Neural Engine Prediction	
00:51.368.808	176.00 ms	Active	Neural Engine Prediction	
00:51.570.372	259.97 ms	Active	decoder_main__Op0_AneInference Prediction	
00:51.833.633	103.45 ms	Active	decoder_alpha_emoji_main__Op0_AneInference Prediction	
00:52.004.145	154.25 µs	Active	decoder_alpha_emoji_main__Op0_AneInference Prediction	
00:52.015.341	2.04 ms	Active	Neural Engine Prediction	
00:52.021.070	5.69 ms	Active	op_main_image__Op1_AneInference Prediction	
00:52.030.796	5.06 ms	Active	Neural Engine Prediction	
00:52.042.577	6.09 ms	Active	Neural Engine Prediction	
00:52.049.805	297.88 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_bridge_kmeans-8bit-cgs8_main__Op0_AneInference Prediction	
00:52.050.713	1.09 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:52.052.624	1.07 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
