Creation	Duration	State	Label	
00:01.730.541	275.25 µs	Active	Neural Engine Prediction	
00:01.737.404	1.06 ms	Active	Neural Engine Prediction	
00:01.737.933	548.79 µs	Active	Neural Engine Prediction	
00:01.738.549	36.17 µs	Active	Neural Engine Prediction	
00:14.409.463	125.12 ms	Active	lora_16_extend_512_8__Op3_AneInference Load: cached	
00:14.409.480	762.28 ms	Active	lora_16_extend_2048_16__Op3_AneInference Load: cached	
00:16.389.313	10.38 ms	Active	Neural Engine Load: cached	
00:40.650.034	30.49 ms	Active	Neural Engine Load: cached	
00:40.710.016	11.05 ms	Active	op_main_image__Op1_AneInference Load: cached	
00:40.742.640	4.00 ms	Active	Neural Engine Load: cached	
00:40.928.951	9.76 ms	Active	text_model_md4_mubb_main__Op0_AneInference Load: cached	
00:42.353.225	1.03 s	Active	noise_predictor_main__Op14_AneInference Load: cached	
00:44.005.347	43.51 ms	Active	Neural Engine Load: cached	
00:44.144.384	1.96 ms	Active	text_model_md4_mubb_main__Op0_AneInference Prediction	
00:44.154.161	10.96 ms	Active	op_main_image__Op1_AneInference Load: cached	
00:44.239.856	61.44 ms	Active	Neural Engine Load: cached	
00:44.451.369	7.63 ms	Active	Neural Engine Prediction	
00:44.464.088	5.39 ms	Active	Neural Engine Prediction	
00:44.470.742	5.49 ms	Active	Neural Engine Prediction	
00:44.593.507	7.13 ms	Active	Neural Engine Prediction	
00:44.601.118	8.35 ms	Active	Neural Engine Prediction	
00:44.612.590	6.55 ms	Active	Neural Engine Prediction	
00:44.893.158	7.57 ms	Active	Neural Engine Prediction	
00:44.904.638	6.90 ms	Active	Neural Engine Prediction	
00:44.912.742	6.40 ms	Active	Neural Engine Prediction	
00:44.919.934	5.68 ms	Active	Neural Engine Prediction	
00:44.926.391	5.63 ms	Active	Neural Engine Prediction	
00:44.932.921	5.35 ms	Active	Neural Engine Prediction	
00:44.938.960	5.32 ms	Active	Neural Engine Prediction	
00:44.945.063	5.93 ms	Active	Neural Engine Prediction	
00:44.951.766	5.96 ms	Active	Neural Engine Prediction	
00:44.958.543	6.90 ms	Active	Neural Engine Prediction	
00:44.966.350	6.28 ms	Active	Neural Engine Prediction	
00:44.973.372	5.78 ms	Active	Neural Engine Prediction	
00:44.980.010	6.38 ms	Active	Neural Engine Prediction	
00:44.987.857	6.02 ms	Active	Neural Engine Prediction	
00:44.995.433	6.65 ms	Active	Neural Engine Prediction	
00:45.002.840	6.01 ms	Active	Neural Engine Prediction	
00:45.009.681	6.54 ms	Active	Neural Engine Prediction	
00:45.016.926	5.79 ms	Active	Neural Engine Prediction	
00:45.023.808	6.18 ms	Active	Neural Engine Prediction	
00:45.030.799	6.36 ms	Active	Neural Engine Prediction	
00:45.037.828	6.04 ms	Active	Neural Engine Prediction	
00:45.044.780	5.59 ms	Active	Neural Engine Prediction	
00:45.051.881	6.05 ms	Active	Neural Engine Prediction	
00:45.058.684	6.51 ms	Active	Neural Engine Prediction	
00:45.066.166	5.35 ms	Active	Neural Engine Prediction	
00:45.072.200	5.20 ms	Active	Neural Engine Prediction	
00:45.078.497	5.73 ms	Active	Neural Engine Prediction	
00:45.084.903	5.18 ms	Active	Neural Engine Prediction	
00:45.090.845	6.01 ms	Active	Neural Engine Prediction	
00:45.097.901	5.94 ms	Active	Neural Engine Prediction	
00:45.104.637	5.33 ms	Active	Neural Engine Prediction	
00:45.110.992	6.02 ms	Active	Neural Engine Prediction	
00:45.117.741	5.50 ms	Active	Neural Engine Prediction	
00:45.123.883	5.55 ms	Active	Neural Engine Prediction	
00:45.130.300	5.79 ms	Active	Neural Engine Prediction	
00:45.137.042	5.20 ms	Active	Neural Engine Prediction	
00:45.142.869	5.37 ms	Active	Neural Engine Prediction	
00:45.149.019	5.77 ms	Active	Neural Engine Prediction	
00:45.155.923	5.56 ms	Active	Neural Engine Prediction	
00:45.220.827	2.77 ms	Active	text_model_md4_mubb_main__Op0_AneInference Prediction	
00:45.415.232	14.75 ms	Active	Neural Engine Prediction	
00:45.431.488	6.35 ms	Active	Neural Engine Prediction	
00:45.438.689	5.72 ms	Active	Neural Engine Prediction	
00:45.666.933	5.96 ms	Active	Neural Engine Prediction	
00:45.673.167	6.61 ms	Active	Neural Engine Prediction	
00:45.681.448	6.46 ms	Active	Neural Engine Prediction	
00:45.736.208	1.89 ms	Active	text_model_md4_mubb_main__Op0_AneInference Prediction	
00:45.924.758	7.84 ms	Active	Neural Engine Prediction	
00:45.933.875	5.12 ms	Active	Neural Engine Prediction	
00:45.939.688	5.14 ms	Active	Neural Engine Prediction	
00:46.189.305	8.09 ms	Active	Neural Engine Prediction	
00:46.197.687	8.91 ms	Active	Neural Engine Prediction	
00:46.207.895	7.10 ms	Active	Neural Engine Prediction	
00:46.221.917	84.88 µs	Active	Neural Engine Prediction	
00:46.227.328	630.38 µs	Active	Neural Engine Prediction	
00:46.228.021	79.75 µs	Active	Neural Engine Prediction	
00:46.228.051	72.29 µs	Active	Neural Engine Prediction	
00:46.255.065	82.17 µs	Active	Neural Engine Prediction	
00:46.259.770	635.17 µs	Active	Neural Engine Prediction	
00:46.260.453	80.58 µs	Active	Neural Engine Prediction	
00:46.260.475	76.21 µs	Active	Neural Engine Prediction	
00:46.278.742	2.48 ms	Active	text_model_md4_mubb_main__Op0_AneInference Prediction	
00:46.486.054	6.27 ms	Active	Neural Engine Prediction	
00:46.494.659	5.81 ms	Active	Neural Engine Prediction	
00:46.501.538	5.14 ms	Active	Neural Engine Prediction	
00:46.738.649	6.70 ms	Active	Neural Engine Prediction	
00:46.745.615	6.72 ms	Active	Neural Engine Prediction	
00:46.754.297	6.38 ms	Active	Neural Engine Prediction	
00:46.814.064	2.66 ms	Active	text_model_md4_mubb_main__Op0_AneInference Prediction	
00:46.981.999	7.47 ms	Active	Neural Engine Prediction	
00:46.991.358	5.89 ms	Active	Neural Engine Prediction	
00:46.998.009	5.35 ms	Active	Neural Engine Prediction	
00:47.232.888	5.57 ms	Active	Neural Engine Prediction	
