Creation	Duration	State	Label	
00:02.764.783	8.21 ms	Active	Neural Engine Load: cached	
00:03.370.777	14.48 ms	Active	Neural Engine Prediction	
00:03.386.292	7.79 ms	Active	Neural Engine Prediction	
00:03.394.371	6.42 ms	Active	Neural Engine Prediction	
00:03.401.158	5.89 ms	Active	Neural Engine Prediction	
00:03.407.354	8.10 ms	Active	Neural Engine Prediction	
00:03.415.846	8.81 ms	Active	Neural Engine Prediction	
00:03.424.940	8.82 ms	Active	Neural Engine Prediction	
00:03.436.541	6.25 ms	Active	Neural Engine Prediction	
00:03.455.753	7.18 ms	Active	Neural Engine Prediction	
00:03.463.981	6.61 ms	Active	Neural Engine Prediction	
00:03.472.090	8.09 ms	Active	Neural Engine Prediction	
00:03.480.657	9.55 ms	Active	Neural Engine Prediction	
00:03.490.477	10.67 ms	Active	Neural Engine Prediction	
00:03.501.418	8.97 ms	Active	Neural Engine Prediction	
00:03.510.685	8.18 ms	Active	Neural Engine Prediction	
00:03.514.722	36.94 ms	Active	Neural Engine Prediction	
00:03.520.660	37.02 ms	Active	Neural Engine Prediction	
00:03.552.158	38.79 ms	Active	Neural Engine Prediction	
00:03.591.331	34.37 ms	Active	Neural Engine Prediction	
00:03.626.062	119.75 ms	Active	Neural Engine Prediction	
00:03.746.291	42.42 ms	Active	Neural Engine Prediction	
00:03.790.140	944.04 µs	Active	Neural Engine Prediction	
00:03.791.318	901.38 µs	Active	Neural Engine Prediction	
00:03.792.440	863.00 µs	Active	Neural Engine Prediction	
00:03.793.521	892.75 µs	Active	Neural Engine Prediction	
00:03.794.636	1.05 ms	Active	Neural Engine Prediction	
00:03.802.259	31.54 ms	Active	Neural Engine Prediction	
00:03.839.459	28.75 µs	Active	Neural Engine Prediction	
00:03.844.557	28.56 ms	Active	Neural Engine Prediction	
00:03.875.309	1.09 ms	Active	Neural Engine Prediction	
00:03.877.726	1.11 ms	Active	Neural Engine Prediction	
00:03.880.618	1.08 ms	Active	Neural Engine Prediction	
00:03.885.240	30.01 ms	Active	Neural Engine Prediction	
00:03.888.398	4.50 ms	Active	Neural Engine Load: cached	
00:03.916.244	1.22 ms	Active	Neural Engine Prediction	
00:03.923.748	1.07 ms	Active	Neural Engine Prediction	
00:03.928.798	29.00 ms	Active	Neural Engine Prediction	
00:03.938.014	50.28 ms	Active	Neural Engine Prediction	
00:03.959.512	30.06 ms	Active	Neural Engine Prediction	
00:03.988.703	36.04 ms	Active	Neural Engine Prediction	
00:03.995.413	57.56 ms	Active	Neural Engine Prediction	
00:04.025.208	60.05 ms	Active	Neural Engine Prediction	
00:04.053.987	32.52 ms	Active	Neural Engine Prediction	
00:04.085.645	35.46 ms	Active	Neural Engine Prediction	
00:04.089.144	33.13 ms	Active	Neural Engine Prediction	
00:04.121.493	35.64 ms	Active	Neural Engine Prediction	
00:04.126.775	60.00 ms	Active	Neural Engine Prediction	
00:04.157.435	58.18 ms	Active	Neural Engine Prediction	
00:04.187.920	29.12 ms	Active	Neural Engine Prediction	
00:04.216.769	1.43 ms	Active	Neural Engine Prediction	
00:04.218.223	1.04 ms	Active	Neural Engine Prediction	
00:04.218.578	1.91 ms	Active	Neural Engine Prediction	
00:04.220.485	1.08 ms	Active	Neural Engine Prediction	
00:04.220.710	2.02 ms	Active	Neural Engine Prediction	
00:04.222.939	795.67 µs	Active	Neural Engine Prediction	
00:04.223.940	1.03 ms	Active	Neural Engine Prediction	
00:04.224.839	29.52 ms	Active	Neural Engine Prediction	
00:04.226.073	29.61 ms	Active	Neural Engine Prediction	
00:04.255.844	1.19 ms	Active	Neural Engine Prediction	
00:04.262.443	1.69 ms	Active	Neural Engine Prediction	
00:04.265.040	1.19 ms	Active	Neural Engine Prediction	
00:04.266.631	1.30 ms	Active	Neural Engine Prediction	
00:04.268.818	1.07 ms	Active	Neural Engine Prediction	
00:04.270.323	29.62 ms	Active	Neural Engine Prediction	
00:04.272.998	57.10 ms	Active	Neural Engine Prediction	
00:04.302.172	29.11 ms	Active	Neural Engine Prediction	
00:04.332.667	1.05 ms	Active	Neural Engine Prediction	
00:04.334.930	1.02 ms	Active	Neural Engine Prediction	
00:04.335.645	29.87 ms	Active	Neural Engine Prediction	
00:04.337.386	29.43 ms	Active	Neural Engine Prediction	
00:04.366.804	1.54 ms	Active	Neural Engine Prediction	
00:04.368.048	1.77 ms	Active	Neural Engine Prediction	
00:04.369.550	1.73 ms	Active	Neural Engine Prediction	
00:04.371.016	1.71 ms	Active	Neural Engine Prediction	
00:04.372.453	1.80 ms	Active	Neural Engine Prediction	
00:04.375.998	1.24 ms	Active	Neural Engine Prediction	
00:04.376.118	29.94 ms	Active	Neural Engine Prediction	
00:04.379.049	28.17 ms	Active	Neural Engine Prediction	
00:04.407.149	1.67 ms	Active	Neural Engine Prediction	
00:04.409.758	29.76 ms	Active	Neural Engine Prediction	
00:04.411.124	29.86 ms	Active	Neural Engine Prediction	
00:04.441.231	1.13 ms	Active	Neural Engine Prediction	
00:04.443.258	1.04 ms	Active	Neural Engine Prediction	
00:04.445.707	1.10 ms	Active	Neural Engine Prediction	
00:04.446.547	1.65 ms	Active	Neural Engine Prediction	
00:04.449.512	1.05 ms	Active	Neural Engine Prediction	
00:04.450.285	31.18 ms	Active	Neural Engine Prediction	
00:04.453.988	57.65 ms	Active	Neural Engine Prediction	
00:04.483.350	29.65 ms	Active	Neural Engine Prediction	
00:04.512.782	1.79 ms	Active	Neural Engine Prediction	
00:04.514.265	1.81 ms	Active	Neural Engine Prediction	
00:04.515.801	1.77 ms	Active	Neural Engine Prediction	
00:04.517.289	1.79 ms	Active	Neural Engine Prediction	
00:04.519.379	1.12 ms	Active	Neural Engine Prediction	
00:04.520.812	1.04 ms	Active	Neural Engine Prediction	
00:04.523.083	1.09 ms	Active	Neural Engine Prediction	
00:04.524.056	31.58 ms	Active	Neural Engine Prediction	
00:04.527.685	57.95 ms	Active	Neural Engine Prediction	
00:04.559.438	27.29 ms	Active	Neural Engine Prediction	
00:04.589.102	1.59 ms	Active	Neural Engine Prediction	
00:04.591.463	1.10 ms	Active	Neural Engine Prediction	
